Country,year,GDP (current US$),GDP_per_capita,GDP_per_capita_annual_ growth
Afghanistan,2015,19134221745,566.8811327,-1.666416415
Albania,2015,11386853113,3952.803574,2.516827054
Algeria,2015,1.66E+11,4197.419985,1.646657261
American Samoa,2015,673000000,13101.54182,4.854442301
Andorra,2015,2789882569,38885.54859,1.257416013
Angola,2015,90496420626,3217.339244,-2.64297533
Antigua and Barbuda,2015,1437755556,15985.54114,0.649980301
Argentina,2015,5.95E+11,13789.06042,1.629664279
Armenia,2015,10553337518,3666.141822,3.606369078
Aruba,2015,2962907263,28419.26453,-1.255588342
Australia,2015,1.35E+12,56758.8692,0.741438844
Austria,2015,3.82E+11,44195.81759,-0.11154019
Azerbaijan,2015,53076235355,5500.503646,-0.103121365
"Bahamas, The",2015,11672900000,29724.95334,0.079104883
Bahrain,2015,31050638298,22795.44886,-1.352381521
Bangladesh,2015,1.95E+11,1236.004392,5.291060808
Barbados,2015,4734000000,17023.69436,2.208565274
Belarus,2015,56454889147,5967.06856,-3.957343643
Belgium,2015,4.62E+11,41008.29672,1.451893368
Belize,2015,2194709309,6098.60008,1.063864853
Benin,2015,11388160997,1041.652523,-1.181684836
Bermuda,2015,6654541000,102005.6256,0.622598427
Bhutan,2015,2003596839,2695.636924,5.649806271
Bolivia,2015,33000198249,2975.648811,3.220538823
Bosnia and Herzegovina,2015,16404348871,4654.60862,5.698303515
Botswana,2015,13530748845,5869.737579,-6.700302342
Brazil,2015,1.80E+12,8783.215424,-4.358317179
Brunei Darussalam,2015,12930291488,30681.43397,-1.522384232
Bulgaria,2015,50811995689,7078.860323,4.059411408
Burkina Faso,2015,11832159316,632.1266858,0.877785605
Burundi,2015,3104003546,289.3596272,-5.980495612
Cabo Verde,2015,1749857620,3169.078901,-0.177226393
Cambodia,2015,18049954289,1170.742816,5.531684684
Cameroon,2015,32210233020,1399.675336,2.392797413
Canada,2015,1.56E+12,43596.13554,-0.089285801
Cayman Islands,2015,4708167233,77295.84529,0.550605419
Central African Republic,2015,1695825714,351.8797548,3.891158828
Chad,2015,10950392257,774.4116031,-0.453003769
Channel Islands,2015,0,0,0
Chile,2015,2.42E+11,13567.35722,1.105758381
China,2015,1.11E+13,8016.445595,6.420736478
Colombia,2015,2.93E+11,6228.651622,1.990616494
Comoros,2015,966029599.8,1322.936775,-1.014068958
"Congo, Dem. Rep.",2015,37917706497,482.0645686,3.353084347
"Congo, Rep.",2015,12434829581,2455.34791,-1.954714357
Costa Rica,2015,56441920821,11529.95517,2.573178611
Cote d'Ivoire,2015,45815005171,1941.581898,4.463889962
Croatia,2015,50857353544,12098.51203,3.370931842
Cuba,2015,87132800000,7683.740254,4.365870759
Curacao,2015,3058779212,19361.81296,-0.858779715
Cyprus,2015,19842492367,23408.44141,4.009426772
Czechia,2015,1.88E+11,17829.69832,5.181402654
Denmark,2015,3.03E+11,53254.85637,1.622166258
Djibouti,2015,2424391785,2409.311902,5.69115555
Dominica,2015,540737037,7724.042411,-3.615168468
Dominican Republic,2015,71164826837,6838.936746,5.655742243
Ecuador,2015,99290381000,6130.586676,-1.371519259
"Egypt, Arab Rep.",2015,3.29E+11,3370.382447,2.095538306
El Salvador,2015,23438240000,3761.51368,2.046016356
Equatorial Guinea,2015,13185496881,9788.983804,-12.60468504
Estonia,2015,22890762090,17402.03761,1.786274694
Eswatini,2015,4063245671,3583.31129,1.499857603
Ethiopia,2015,64589328551,630.3126194,7.456695097
Faroe Islands,2015,2573905971,52726.68738,0.250331565
Fiji,2015,4682479912,5105.189612,4.314345961
Finland,2015,2.35E+11,42801.90812,0.21302942
France,2015,2.44E+12,36652.92231,0.754024352
French Polynesia,2015,5325846362,18252.5142,0.998225296
Gabon,2015,14383107763,7090.454634,0.721232639
"Gambia, The",2015,1378176609,611.6712191,1.097050489
Georgia,2015,14953673796,4014.111651,2.864456604
Germany,2015,3.36E+12,41103.25644,0.617105353
Ghana,2015,49406009812,1711.271317,-0.265332917
Greece,2015,1.96E+11,18083.87791,0.463652786
Greenland,2015,2499113023,44536.35497,-2.214918882
Grenada,2015,997007407.4,8379.621847,5.543417928
Guam,2015,5799000000,34522.37793,0.564587368
Guatemala,2015,62186064719,3994.629085,2.346295146
Guinea,2015,8794202394,756.4255898,1.212553188
Guinea-Bissau,2015,1048229633,585.9570126,3.428104905
Guyana,2015,4279840194,5668.429765,0.165185137
Haiti,2015,14849629408,1405.714786,-0.049590688
Honduras,2015,20979791685,2257.225284,1.97813209
"Hong Kong SAR, China",2015,3.09E+11,42432.16197,1.520022544
Hungary,2015,1.25E+11,12717.0386,3.954282613
Iceland,2015,17517210519,52951.68151,3.354145333
India,2015,2.10E+12,1590.174331,6.721067635
Indonesia,2015,8.61E+11,3322.581679,3.717745469
"Iran, Islamic Rep.",2015,4.08E+11,4990.936795,-3.629417164
Iraq,2015,1.67E+11,4416.942924,1.917912089
Ireland,2015,2.92E+11,62179.26427,23.30469344
Isle of Man,2015,7084795708,84753.45673,-0.024726272
Israel,2015,3.03E+11,36206.52222,0.475269155
Italy,2015,1.84E+12,30242.38614,0.875477402
Jamaica,2015,14188936958,5077.550984,0.56387602
Japan,2015,4.44E+12,34960.63938,1.668465117
Jordan,2015,38587017887,4064.25301,-6.53100718
Kazakhstan,2015,1.84E+11,10510.77032,-0.268267117
Kenya,2015,70120446897,1496.653573,2.683317425
Kiribati,2015,170292316.8,1459.143983,8.244125163
"Korea, Rep.",2015,1.47E+12,28737.43917,2.268429401
Kosovo,2015,6295848423,3520.782075,7.371828742
Kuwait,2015,1.15E+11,29315.19851,-3.194174418
Kyrgyz Republic,2015,6678177512,1121.082696,1.75886441
Lao PDR,2015,14426381187,2125.459057,5.753411005
Latvia,2015,27263090547,13786.4568,4.739182606
Lebanon,2015,49929337837,7802.751368,-1.493847611
Lesotho,2015,2359686725,1113.836835,1.990905886
Liberia,2015,3227075700,699.6629469,-2.033029839
Libya,2015,48717506273,7867.515731,-2.355436924
Liechtenstein,2015,6268515276,167809.2699,2.988912971
Lithuania,2015,41435533340,14263.96458,-0.115476306
Luxembourg,2015,60071584216,105462.0126,-22.92684929
"Macao SAR, China",2015,45048190598,73220.63556,0.497287786
Madagascar,2015,11323020701,455.6380346,0.002403032
Malawi,2015,9219474379,544.2768727,3.527534436
Malaysia,2015,3.01E+11,9699.600463,-0.52627321
Maldives,2015,4129505320,9480.431514,2.882860607
Mali,2015,13104764378,723.5042049,7.023412441
Malta,2015,11091483660,24921.71418,4.185510711
Marshall Islands,2015,182997300,3703.649059,2.62469076
Mauritania,2015,6166863897,1562.726836,3.553356966
Mauritius,2015,12007291046,9507.871337,1.510744661
Mexico,2015,1.21E+12,10098.17318,4.203251189
"Micronesia, Fed. Sts.",2015,316489900,2891.322103,0.429158888
Moldova,2015,7798692878,2749.913038,3.009249664
Monaco,2015,6261649891,170338.6804,0.241383712
Mongolia,2015,11619892591,3919.351213,3.332384578
Montenegro,2015,4054730078,6517.192675,3.022429876
Morocco,2015,1.10E+11,3139.228271,4.174322974
Mozambique,2015,16208985770,603.8385138,6.137642786
Myanmar,2015,59687411769,1159.340201,2.450710978
Namibia,2015,11335161084,4965.672765,-7.726824166
Nauru,2015,84863440.58,7587.25441,3.417884303
Nepal,2015,24360801338,882.3076634,1.508266184
Netherlands,2015,7.66E+11,45193.40322,0
New Caledonia,2015,8738203074,32428.57223,1.64567825
New Zealand,2015,1.78E+11,38630.72659,3.296628126
Nicaragua,2015,12756685522,2025.321432,0.471154424
Niger,2015,9683867926,481.1113011,0.076961617
Nigeria,2015,4.93E+11,2679.554223,3.717656603
North Macedonia,2015,10064519963,4861.55616,4.069818527
Northern Mariana Islands,2015,910000000,17665.10075,0.848799124
